trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.9, 'e': 9.245562130177515e-05}",20,13,13.403571757070516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9, 'e': 9.070294784580499e-05}",30,12,-10.164658168530963,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.9, 'e': 8.8999644001424e-05}",30,22,13.180670221721243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 8.734387282732117e-05}",20,0,26.009970838908195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 8.573388203017832e-05}",20,1,4.673691377633631,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.9, 'e': 8.416799932665601e-05}",20,0,27.298241080024262,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.9, 'e': 8.264462809917356e-05}",25,0,37.2447929204024,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.9, 'e': 8.116224332440549e-05}",20,6,23.72453234251895,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 7.971938775510203e-05}",25,11,2.499398937318304,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.9, 'e': 7.831466833737959e-05}",35,16,32.79756658829578,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 7.694675284702985e-05}",25,14,21.48788442652065,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 7.561436672967863e-05}",25,5,-14.432251254525745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.9, 'e': 7.431629013079666e-05}",20,0,25.359955094227498,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.9, 'e': 7.305135510263716e-05}",35,12,27.95535804029777,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 7.181844297615628e-05}",20,2,27.55563673248997,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 7.06164818868724e-05}",20,0,32.45149973699016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.9, 'e': 6.944444444444444e-05}",25,15,20.080966039593722,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 6.830134553650706e-05}",20,5,27.65791335671449,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 6.718624025799516e-05}",30,0,49.26663132564028,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 6.609822195782933e-05}",25,17,17.737519225708755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 6.503642039542144e-05}",30,9,39.94279996645243,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9, 'e': 6.4e-05}",25,0,41.103337921226064,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.9, 'e': 6.298815822625347e-05}",20,1,29.27655127249091,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 6.2000124000248e-05}",30,0,42.93123840804074,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 6.103515625e-05}",35,4,46.400951927713855,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 6.009254251547383e-05}",30,6,38.341573639935056,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 5.9171597633136094e-05}",25,8,25.75229802611799,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 5.8271662490530857e-05}",25,15,17.28446678778718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 5.73921028466483e-05}",20,0,23.12823103162295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.9, 'e': 5.6532308214144386e-05}",20,9,17.899884711480887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 5.569169079973268e-05}",30,1,45.1069847413688,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 5.486968449931413e-05}",25,17,11.930629416598565,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 5.406574394463668e-05}",30,0,46.72740160594162,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.9, 'e': 5.3279343598486864e-05}",25,0,32.67800845906222,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.9, 'e': 5.250997689561016e-05}",35,12,43.96602231563315,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 5.175715542673774e-05}",20,0,29.21183554982969,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.9, 'e': 5.102040816326531e-05}",20,9,17.666945163174308,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 5.02992807202857e-05}",30,0,44.31885497938494,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.9, 'e': 4.959333465582226e-05}",30,11,31.07499124731299,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 4.8902146804244705e-05}",25,16,11.727614930376912,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 4.8225308641975306e-05}",25,14,16.70227655608615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 4.756242568370987e-05}",20,6,24.779988649772964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 4.6913116907487336e-05}",30,9,34.563895159873496,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 4.627701420704336e-05}",20,7,20.265981664288443,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 4.565376186997809e-05}",25,5,30.711748269459076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 4.504301608035674e-05}",20,6,21.287820164715896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 4.4444444444444447e-05}",20,9,21.273478567328286,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 4.385772553835358e-05}",20,11,17.147810113602432,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 4.3282548476454294e-05}",20,0,25.275617121915857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.9, 'e': 4.2718612499466016e-05}",20,3,28.54578335588252,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 4.2165626581210996e-05}",20,7,19.10316120258156,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 4.162330905306972e-05}",20,11,15.15356903920806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 4.10913872452334e-05}",20,16,5.261838845225653,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 4.056959714390036e-05}",20,13,12.77238636032018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 4.00576830636116e-05}",25,16,18.048832330257746,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 3.955539733396622e-05}",20,11,14.260374972461289,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,11.099149418741742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,30.438796413482347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,16,17.134883135494416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,25.565248692078338,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,18.792499922585865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,25.260245975522203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,13.981072958432176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,22.400248440524102,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,20,18.3943725811025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,14.081538580354302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
